21/07/2025 08:00:02 - INFO - Iniciando cadastro_geral.py
21/07/2025 08:00:02 - INFO - Conexão com o banco estabelecida.
21/07/2025 08:00:02 - INFO - Iniciando consulta
21/07/2025 08:00:04 - SUCCESS - Consulta realizada com sucesso.
21/07/2025 08:00:09 - INFO - Email enviado para: eg1*********email.com
21/07/2025 08:00:12 - INFO - Email enviado para: eg2*********email.com
21/07/2025 08:00:17 - INFO - Email enviado para: eg3*********email.com
21/07/2025 08:00:21 - INFO - Email enviado para: eg4*********email.com
21/07/2025 08:00:25 - INFO - Email enviado para: eg5*********email.com
21/07/2025 08:00:29 - INFO - Email enviado para: eg6*********email.com
21/07/2025 08:00:33 - INFO - Email enviado para: eg7*********email.com
21/07/2025 08:00:36 - INFO - Email enviado para: eg8*********email.com
21/07/2025 08:00:36 - INFO - cadastro_geral.py finalizado. 

